IPAD_DB_ID,Name,Targeting-protein,Research models,Ref. Link,Molecular Formula,Molecular Weight,IUPAC Name,InChI,InChI Key,Canonical SMILES,,,,
D00239,"1,2-dimethylhydrazine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15591071/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00240,"1,2-dimethylhydrazine",Tau protein,-,https://pubmed.ncbi.nlm.nih.gov/15750215/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00241,"1,2-dimethylhydrazine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15993441/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00242,"1,2-dimethylhydrazine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16204253/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00243,"1,2-dimethylhydrazine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16266835/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00244,"1,2-dimethylhydrazine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16325427/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00245,"1,2-dimethylhydrazine",β-site amyloid precursor protein cleaving enzyme 1 (BACE1),-,https://pubmed.ncbi.nlm.nih.gov/16407166/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00246,"1,2-dimethylhydrazine",Tau protein,-,https://pubmed.ncbi.nlm.nih.gov/20157255/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00247,"1,2-dimethylhydrazine",MAOB,-,https://pubmed.ncbi.nlm.nih.gov/21075085/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00248,"1,2-dimethylhydrazine",Tau protein,-,https://pubmed.ncbi.nlm.nih.gov/21715663/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00249,"1,2-dimethylhydrazine",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/22944069/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00250,"1,2-dimethylhydrazine",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/23047022/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00251,"1,2-dimethylhydrazine",Tau protein,-,https://pubmed.ncbi.nlm.nih.gov/25352456/,C2H8N2,60.10,"1,2-dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",DIIIISSCIXVANO-UHFFFAOYSA-N,CNNC,,,,
D00252,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/1497677/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00253,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12192006/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00254,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12572668/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00255,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12746438/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00256,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12852432/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00257,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15590663/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00258,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15591071/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00259,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15993441/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00260,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16204253/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00261,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16266835/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00262,"1,2-dithiol-3-thione",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16325427/,C3H2S3,134.3,dithiole-3-thione,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,LZENMJMJWQSSNJ-UHFFFAOYSA-N,C1=CSSC1=S,,,,
D00263,"1,2-epoxy-4-vinylcyclohexane",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/22944069/,C8H12O,124.18,3-ethenyl-7-oxabicyclo[4.1.0]heptane,"InChI=1S/C8H12O/c1-2-6-3-4-7-8(5-6)9-7/h2,6-8H,1,3-5H2",SLJFKNONPLNAPF-UHFFFAOYSA-N,C=CC1CCC2C(C1)O2,,,,
D00264,"1,2-epoxy-4-vinylcyclohexane",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/23047022/,C8H12O,124.18,3-ethenyl-7-oxabicyclo[4.1.0]heptane,"InChI=1S/C8H12O/c1-2-6-3-4-7-8(5-6)9-7/h2,6-8H,1,3-5H2",SLJFKNONPLNAPF-UHFFFAOYSA-N,C=CC1CCC2C(C1)O2,,,,
D00265,"1,3-bis(2-hydroxyiminomethylpyridinium)propane",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/22944069/,,,,,,,,,,
D00266,"1,3-bis(2-hydroxyiminomethylpyridinium)propane",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/23047022/,,,,,,,,,,
D00267,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/1497677/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00268,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12192006/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00269,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12572668/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00270,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12746438/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00271,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12852432/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00272,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15590663/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00273,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15591071/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00274,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15993441/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00275,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16204253/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00276,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16266835/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00277,"1,3-dipropyl-8-cyclopentylxanthine",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16325427/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00278,"1,3-dipropyl-8-cyclopentylxanthine",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/22944069/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00279,"1,3-dipropyl-8-cyclopentylxanthine",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/23047022/,C16H24N4O2,304.39,"8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione","InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",FFBDFADSZUINTG-UHFFFAOYSA-N,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,,,,
D00280,"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/22944069/,C16H8Cl4N2O2,402.1,"3,5-dichloro-2-[4-(3,5-dichloropyridin-2-yl)oxyphenoxy]pyridine",InChI=1S/C16H8Cl4N2O2/c17-9-5-13(19)15(21-7-9)23-11-1-2-12(4-3-11)24-16-14(20)6-10(18)8-22-16/h1-8H,BAFKRPOFIYPKBQ-UHFFFAOYSA-N,C1=CC(=CC=C1OC2=C(C=C(C=N2)Cl)Cl)OC3=C(C=C(C=N3)Cl)Cl,,,,
D00281,"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",Butyrylcholinesterase (BChE),-,https://pubmed.ncbi.nlm.nih.gov/23022600/,C16H8Cl4N2O2,402.1,"3,5-dichloro-2-[4-(3,5-dichloropyridin-2-yl)oxyphenoxy]pyridine",InChI=1S/C16H8Cl4N2O2/c17-9-5-13(19)15(21-7-9)23-11-1-2-12(4-3-11)24-16-14(20)6-10(18)8-22-16/h1-8H,BAFKRPOFIYPKBQ-UHFFFAOYSA-N,C1=CC(=CC=C1OC2=C(C=C(C=N2)Cl)Cl)OC3=C(C=C(C=N3)Cl)Cl,,,,
D00282,"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/23047022/,C16H8Cl4N2O2,402.1,"3,5-dichloro-2-[4-(3,5-dichloropyridin-2-yl)oxyphenoxy]pyridine",InChI=1S/C16H8Cl4N2O2/c17-9-5-13(19)15(21-7-9)23-11-1-2-12(4-3-11)24-16-14(20)6-10(18)8-22-16/h1-8H,BAFKRPOFIYPKBQ-UHFFFAOYSA-N,C1=CC(=CC=C1OC2=C(C=C(C=N2)Cl)Cl)OC3=C(C=C(C=N3)Cl)Cl,,,,
D00283,"1,4-bis(2-hydroxyiminomethylpyridinium)butane",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/22944069/,,,,,,,,,,
D00284,"1,4-bis(2-hydroxyiminomethylpyridinium)butane",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/23047022/,,,,,,,,,,
D00285,"1,4-bis(4-hydroxyiminomethylpyridinium)butane dibromide",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/22944069/,,,,,,,,,,
D00286,"1,4-bis(4-hydroxyiminomethylpyridinium)butane dibromide",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/23047022/,,,,,,,,,,
D00287,"1,4-dinitrobenzene",MAOB,-,https://pubmed.ncbi.nlm.nih.gov/21075085/,C6H4N2O4,168.11,"1,4-dinitrobenzene",InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,FYFDQJRXFWGIBS-UHFFFAOYSA-N,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],,,,
D00288,"1,4-dinitrobenzene",MAOB,-,https://pubmed.ncbi.nlm.nih.gov/7816197/,C6H4N2O4,168.11,"1,4-dinitrobenzene",InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,FYFDQJRXFWGIBS-UHFFFAOYSA-N,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],,,,
D00289,"1,7-N-heptylene-bis-9,9'-amino-1,2,3,4-tetrahydroacridine",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/22944069/,,,,,,,,,,
D00290,"1,7-N-heptylene-bis-9,9'-amino-1,2,3,4-tetrahydroacridine",Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/23047022/,,,,,,,,,,
D00291,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/22944069/,,,,,,,,,,
D00292,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,Butyrylcholinesterase (BChE),-,https://pubmed.ncbi.nlm.nih.gov/23022600/,,,,,,,,,,
D00293,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,Acetylcholinesterase (AChE),-,https://pubmed.ncbi.nlm.nih.gov/23047022/,,,,,,,,,,
D00294,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12192006/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00295,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12572668/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00296,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12746438/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00297,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12852432/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00298,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/1497677/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00299,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15590663/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00300,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15591071/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00301,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/15993441/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00302,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16204253/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00303,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16266835/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00304,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/16325427/,C20H32O3,320.5,"(5E,8E,10E,14E)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7+,11-8+,13-10+,17-14+",ZNHVWPKMFKADKW-GIZKKEBHSA-N,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O,,,,
D00305,"15-hydroxy-5,8,11,13-eicosatetraenoic acid",Aβ,-,https://pubmed.ncbi.nlm.nih.gov/12192006/,C20H32O3,320.5,"(5E,8E,11E,13E)-15-hydroxyicosa-5,8,11,13-tetraenoic acid","InChI=1S/C20H32O3/c1-2-3-13-16-19(21)17-14-11-9-7-5-4-6-8-10-12-15-18-20(22)23/h4-5,8-11,14,17,19,21H,2-3,6-7,12-13,15-16,18H2,1H3,(H,22,23)/b5-4+,10-8+,11-9+,17-14+",JSFATNQSLKRBCI-NLORQXDXSA-N,CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)O,,,,
